Model Name,Overall,Chinese Culture,Classification,Code,Commonsense,Creative NLG,Evaluation,Grammar,Linguistic,Motion Detection,NER,NLI,QA,Reasoning,Role Playing,Sentiment,Structured Data,Style Transfer,Summarization,Toxic,Translation
Chinese-Llama2-Linly-7B,0.333,0.218,0.451,0.33,0.396,0.427,0.583,0.248,0.35,0.41,0.231,0.367,0.345,0.276,0.698,0.433,0.259,0.315,0.31,0.469,0.168
Tigerbot-13B-Chat,0.331,0.205,0.397,0.309,0.385,0.42,0.614,0.31,0.379,0.341,0.276,0.363,0.329,0.301,0.694,0.419,0.28,0.31,0.283,0.393,0.186
Telechat-7B,0.329,0.267,0.338,0.321,0.42,0.404,0.42,0.272,0.265,0.327,0.32,0.388,0.355,0.244,0.672,0.344,0.334,0.335,0.299,0.364,0.184
Ziya-Llama-13B,0.329,0.196,0.402,0.324,0.341,0.428,0.616,0.312,0.349,0.4,0.228,0.351,0.279,0.313,0.721,0.468,0.311,0.291,0.278,0.431,0.175
Chinese-Alpaca-33B,0.326,0.234,0.37,0.372,0.364,0.429,0.614,0.246,0.318,0.377,0.221,0.368,0.3,0.314,0.713,0.428,0.288,0.303,0.295,0.401,0.199
Tigerbot-7B-Chat,0.325,0.218,0.395,0.306,0.37,0.413,0.631,0.294,0.37,0.368,0.215,0.355,0.313,0.292,0.713,0.415,0.283,0.315,0.29,0.389,0.171
Chinese-Alpaca-2-7B,0.323,0.215,0.374,0.335,0.366,0.415,0.546,0.257,0.326,0.395,0.215,0.375,0.318,0.289,0.698,0.417,0.285,0.303,0.312,0.439,0.193
Aquilachat-7B,0.309,0.162,0.234,0.291,0.32,0.437,0.344,0.135,0.266,0.309,0.287,0.337,0.342,0.236,0.609,0.255,0.249,0.4,0.527,0.43,0.306
Moss-Moon-003-Sft,0.302,0.214,0.405,0.274,0.347,0.38,0.448,0.305,0.341,0.378,0.232,0.317,0.321,0.267,0.694,0.375,0.251,0.259,0.288,0.424,0.152
Qwen-7B-Chat,0.301,0.211,0.41,0.289,0.349,0.391,0.531,0.219,0.387,0.404,0.208,0.325,0.297,0.278,0.681,0.419,0.266,0.251,0.248,0.371,0.157
Belle-13B-Sft,0.264,0.198,0.307,0.285,0.316,0.349,0.409,0.237,0.305,0.222,0.177,0.317,0.284,0.242,0.631,0.299,0.244,0.222,0.234,0.296,0.133
Cpm-Bee-10B,0.244,0.234,0.377,0.024,0.278,0.311,0.255,0.302,0.278,0.327,0.148,0.286,0.224,0.147,0.603,0.277,0.117,0.263,0.22,0.352,0.125
